"PAYS","variable","value"
"Mali","CA02",0
"Mauritanie","CA02",0
"Norvège","CA02",0
"Palestine","CA02",1
"Pays-Bas","CA02",0
"Sénégal","CA02",0
"Singapour","CA02",0
"Suisse","CA02",0
"Tchad","CA02",0
"Thailande","CA02",0
"Ukraine","CA02",0
"Albanie","CA02",0
"Bangladesh","CA02",0
"Bolivie","CA02",0
"Bulgarie","CA02",0
"Croatie","CA02",0
"Cuba","CA02",0
"Géorgie","CA02",0
"Islande","CA02",0
"Kazakhstan","CA02",0
"Kenya","CA02",0
"Liban","CA02",0
"Lituanie","CA02",0
"Malaisie","CA02",0
"Maroc","CA02",0
"Perou","CA02",0
"République Tchèque","CA02",0
"Slovaquie","CA02",0
"Slovénie","CA02",0
"Sri Lanka","CA02",0
"Uruguay","CA02",0
"Venezuela","CA02",0
"France","CA03",6
"Etats-Unis","CA03",3
"Royaume-Uni","CA03",1
"Italie","CA03",1
"Japon","CA03",2
"Chine","CA03",1
"Russie","CA03",1
"Canada","CA03",1
"Corée du Sud","CA03",0
"Taiwan","CA03",0
"Danemark","CA03",1
"Mexique","CA03",0
"Belgique","CA03",0
"Espagne","CA03",0
"Australie","CA03",0
"Autriche","CA03",0
"Israel","CA03",0
"Allemagne","CA03",0
